OrderID,CustomerID,OrderDate,Status
1,8870,2024-05-03,Cancelled
2,2142,2026-01-18,Pending
3,8030,2026-01-14,Delivered
4,4295,2025-06-05,Delivered
5,4623,2025-05-26,Delivered
6,9949,2024-09-01,Shipped
7,5458,2025-11-01,Cancelled
8,5029,2024-08-09,Cancelled
9,3854,2025-01-16,Delivered
10,9903,2025-08-15,Cancelled
11,7696,2026-02-08,Pending
12,2908,2024-12-25,Processing
13,592,2026-05-12,Pending
14,3280,2024-03-04,Delivered
15,4165,2025-03-12,Cancelled
16,2017,2024-06-01,Delivered
17,8043,2024-04-24,Cancelled
18,1459,2025-08-05,Delivered
19,9590,2025-08-12,Processing
20,3455,2025-01-13,Processing
21,616,2024-08-05,Pending
22,4020,2026-02-22,Cancelled
23,7838,2025-07-24,Processing
24,649,2024-11-24,Delivered
25,8690,2024-05-15,Cancelled
26,7823,2025-01-17,Processing
27,3858,2024-12-03,Shipped
28,2916,2025-03-09,Processing
29,873,2024-05-19,Cancelled
30,4535,2026-03-05,Cancelled
31,8044,2024-09-16,Delivered
32,8261,2024-05-06,Pending
33,3053,2025-07-25,Processing
34,6607,2025-08-28,Cancelled
35,3228,2024-10-24,Shipped
36,2003,2025-04-07,Processing
37,9349,2024-06-18,Processing
38,2252,2025-08-15,Processing
39,1356,2025-03-27,Delivered
40,8368,2025-03-17,Shipped
41,133,2026-03-23,Processing
42,9301,2025-10-28,Shipped
43,7199,2025-01-17,Pending
44,5182,2024-11-29,Delivered
45,8110,2026-01-12,Delivered
46,9217,2024-03-21,Delivered
47,4926,2024-07-27,Pending
48,2057,2025-11-16,Shipped
49,3469,2024-11-05,Shipped
50,3382,2024-12-24,Processing
51,8240,2026-08-05,Pending
52,1126,2025-12-07,Shipped
53,8110,2024-12-26,Pending
54,9628,2024-05-24,Delivered
55,2588,2024-02-21,Cancelled
56,4452,2025-06-11,Pending
57,3082,2025-01-24,Cancelled
58,6114,2025-04-06,Shipped
59,6844,2024-07-09,Cancelled
60,4204,2024-07-20,Processing
61,9448,2024-04-12,Delivered
62,8780,2025-01-21,Delivered
63,79,2026-04-05,Cancelled
64,8800,2024-11-18,Shipped
65,272,2025-02-13,Cancelled
66,4461,2024-08-21,Cancelled
67,4467,2024-09-29,Pending
68,991,2026-03-15,Pending
69,257,2024-11-03,Processing
70,7976,2026-03-09,Cancelled
71,7766,2024-09-23,Cancelled
72,3162,2024-12-23,Shipped
73,9578,2024-06-02,Pending
74,23,2024-04-19,Cancelled
75,1164,2025-06-01,Cancelled
76,6811,2025-09-17,Cancelled
77,1862,2024-08-07,Processing
78,9605,2024-09-08,Shipped
79,7345,2026-09-03,Shipped
80,3443,2025-06-25,Shipped
81,8238,2026-06-28,Pending
82,1651,2024-04-01,Shipped
83,8184,2024-02-08,Processing
84,4909,2025-04-14,Shipped
85,6482,2024-02-24,Pending
86,6751,2024-10-20,Processing
87,6298,2024-07-10,Shipped
88,5478,2026-07-19,Shipped
89,4651,2025-03-02,Processing
90,54,2026-07-22,Processing
91,2023,2026-04-30,Processing
92,5599,2025-12-27,Shipped
93,6380,2025-09-29,Processing
94,2361,2025-11-10,Processing
95,9333,2024-10-18,Pending
96,8032,2026-05-06,Pending
