ProductID,CategoryID,ProductName,Brand,Price,Cost,Stock
1,12,Bose Printer 1,Bose,261.16,140.65,399
2,3,Lenovo Mouse 2,Lenovo,1874.2,1460.92,155
3,12,Sony Headphones 3,Sony,1272.54,846.77,315
4,11,LG Smart Watch 4,LG,1180.67,637.81,95
5,16,Bose Television 5,Bose,253.18,165.51,375
6,4,Bose Headphones 6,Bose,2070.53,1524.96,256
7,5,Apple Headphones 7,Apple,2542.44,1485.25,181
8,5,Bose Backpack 8,Bose,2231.71,1713.33,195
9,15,Nike Mouse 9,Nike,1640.83,1360.22,190
10,7,Adidas Desk 10,Adidas,1387.12,788.52,433
11,16,Canon Tablet 11,Canon,2247.37,1771.17,23
12,5,Lenovo Chair 12,Lenovo,667.9,487.13,367
13,13,LG Headphones 13,LG,2885.02,1747.38,403
14,6,Lenovo Laptop 14,Lenovo,1492.83,853.42,111
15,4,Logitech Smartphone 15,Logitech,233.42,154.05,398
16,10,Lenovo Tablet 16,Lenovo,538.87,395.98,191
17,17,LG Gaming Console 17,LG,695.76,494.22,272
18,7,Lenovo Laptop 18,Lenovo,2663.78,1719.42,245
19,13,Microsoft Headphones 19,Microsoft,953.32,656.39,289
20,17,Adidas Headphones 20,Adidas,2709.13,2233.52,110
21,18,Adidas Keyboard 21,Adidas,2342.64,1360.99,14
22,8,LG Monitor 22,LG,1469.54,1045.1,328
23,8,Dell Printer 23,Dell,2076.48,1095.48,176
24,5,Apple Printer 24,Apple,2342.8,1751.08,485
25,6,HP Printer 25,HP,1458.01,758.42,168
26,9,Canon Headphones 26,Canon,211.95,173.32,25
27,5,Dell Tablet 27,Dell,1745.45,922.79,231
28,17,Samsung Monitor 28,Samsung,487.5,325.62,265
29,3,LG Chair 29,LG,1618.69,1062.22,298
30,2,Adidas Smart Watch 30,Adidas,2546.99,1701.8,346
31,20,Lenovo Television 31,Lenovo,2192.71,1738.33,266
32,19,Microsoft Smart Watch 32,Microsoft,1441.65,864.56,314
33,20,Apple Tablet 33,Apple,189.5,105.44,444
34,16,Bose Headphones 34,Bose,390.23,233.24,437
35,11,Adidas Smartphone 35,Adidas,2963.78,1851.12,377
36,20,Samsung Backpack 36,Samsung,1612.92,864.04,481
37,14,Canon Television 37,Canon,249.37,143.12,410
38,11,Apple Monitor 38,Apple,1231.02,720.32,208
39,6,Sony Desk 39,Sony,1797.21,1515.72,187
40,15,Apple Headphones 40,Apple,2457.57,1869.46,385
41,14,Adidas Smart Watch 41,Adidas,1798.12,1282.2,111
42,17,Adidas Monitor 42,Adidas,231.67,162.37,456
43,19,Adidas Headphones 43,Adidas,1951.85,1581.92,27
44,6,Samsung Television 44,Samsung,2099.14,1133.2,106
45,16,Bose Monitor 45,Bose,249.04,210.91,178
46,6,LG Monitor 46,LG,362.46,209.37,353
47,4,Adidas Printer 47,Adidas,2410.94,1409.74,240
48,11,Lenovo Laptop 48,Lenovo,817.93,419.45,434
49,20,Microsoft Tablet 49,Microsoft,2507.69,1466.84,344
50,12,Adidas Mouse 50,Adidas,2254.21,1420.27,397
51,8,HP Desk 51,HP,1038.4,672.24,495
52,20,Dell Smartphone 52,Dell,2752.87,1904.59,425
53,16,Logitech Printer 53,Logitech,2554.82,2170.87,111
54,5,Sony Backpack 54,Sony,453.59,277.94,492
55,4,Canon Printer 55,Canon,1325.08,788.84,426
56,6,Canon Television 56,Canon,981.56,793.3,34
57,9,Apple Tablet 57,Apple,2499.57,2008.84,459
58,6,Canon Smartphone 58,Canon,2125.87,1364.88,19
59,18,Lenovo Mouse 59,Lenovo,1197.59,838.32,133
60,4,Sony Keyboard 60,Sony,2477.95,1866.3,284
61,8,Microsoft Laptop 61,Microsoft,299.57,190.64,397
62,8,LG Printer 62,LG,45.86,35.32,240
63,17,Samsung Printer 63,Samsung,1991.2,1230.93,490
64,19,Bose Backpack 64,Bose,1297.37,949.1,185
65,19,Canon Backpack 65,Canon,1624.37,889.28,142
66,2,Dell Desk 66,Dell,1695.96,1292.73,309
67,4,Sony Monitor 67,Sony,1393.49,1006.96,456
68,3,HP Backpack 68,HP,1267.24,859.03,34
69,7,Nike Headphones 69,Nike,2889.71,1920.69,478
70,1,HP Television 70,HP,1445.09,791.37,245
71,10,Dell Keyboard 71,Dell,2924.37,2185.15,92
72,6,Apple Keyboard 72,Apple,1946.09,1473.66,483
73,20,Bose Monitor 73,Bose,1585.13,1231.91,369
74,2,HP Gaming Console 74,HP,1247.15,1021.82,94
75,14,Adidas Backpack 75,Adidas,951.76,776.28,48
76,4,Lenovo Tablet 76,Lenovo,1953.46,1188.68,137
77,18,Samsung Television 77,Samsung,2620.39,1558.51,342
78,6,Sony Chair 78,Sony,2085.52,1221.34,428
79,1,Canon Mouse 79,Canon,2099.17,1275.62,210
80,3,Apple Television 80,Apple,371.69,281.57,218
81,11,Microsoft Chair 81,Microsoft,1261.25,751.56,313
82,10,Adidas Printer 82,Adidas,327.09,220.21,98
83,20,Sony Laptop 83,Sony,2125.91,1730.57,239
84,10,Apple Mouse 84,Apple,2495.84,1365.18,429
85,20,Apple Headphones 85,Apple,186.29,152.43,91
86,3,Microsoft Mouse 86,Microsoft,100.94,57.52,196
87,9,Logitech Laptop 87,Logitech,560.09,393.33,89
88,6,Microsoft Headphones 88,Microsoft,740.75,469.47,195
89,14,HP Mouse 89,HP,1807.85,1394.54,291
90,8,Apple Smartphone 90,Apple,1621.03,863.43,128
91,18,Microsoft Laptop 91,Microsoft,2351.66,1333.76,346
92,8,Logitech Television 92,Logitech,2354.66,1429.14,143
93,5,Adidas Tablet 93,Adidas,896.29,566.9,344
94,7,Logitech Keyboard 94,Logitech,825.07,467.78,412
95,17,HP Keyboard 95,HP,1625.62,943.71,121
96,16,LG Camera 96,LG,1125.36,932.56,377
97,14,LG Camera 97,LG,2709.54,1596.03,19
98,12,Adidas Gaming Console 98,Adidas,2439.57,1369.83,127
99,6,Sony Camera 99,Sony,1163.48,834.31,68
100,11,Samsung Desk 100,Samsung,82.05,48.75,174
101,19,Adidas Desk 101,Adidas,2588.67,1442.1,388
102,17,Nike Keyboard 102,Nike,2424.74,2051.44,311
103,1,LG Printer 103,LG,761.24,494.37,463
104,10,Nike Desk 104,Nike,993.74,609.11,49
105,13,Adidas Chair 105,Adidas,997.85,589.25,63
106,17,Microsoft Chair 106,Microsoft,620.2,318.27,303
107,11,HP Smart Watch 107,HP,836.43,579.37,486
108,9,LG Television 108,LG,2958.15,2244.79,312
109,13,Adidas Printer 109,Adidas,1558.71,1015.93,230
110,20,Apple Gaming Console 110,Apple,1746.58,1152.65,209
111,15,LG Desk 111,LG,2106.83,1683.98,11
112,19,Apple Smart Watch 112,Apple,173.44,138.09,318
113,3,Lenovo Camera 113,Lenovo,98.42,75.35,408
114,15,LG Mouse 114,LG,325.83,207.64,424
115,14,Adidas Smartphone 115,Adidas,2189.13,1094.6,173
116,17,Nike Headphones 116,Nike,1278.68,648.29,49
117,10,HP Tablet 117,HP,797.06,645.93,349
118,10,Logitech Printer 118,Logitech,2089.0,1753.46,188
119,14,Lenovo Backpack 119,Lenovo,1734.94,1066.44,452
120,11,LG Chair 120,LG,2283.22,1154.91,171
121,14,Nike Monitor 121,Nike,2573.48,1806.11,485
122,11,Lenovo Gaming Console 122,Lenovo,946.38,518.14,364
123,6,Canon Desk 123,Canon,2390.31,1558.77,241
124,18,Apple Smart Watch 124,Apple,1771.73,1443.66,410
125,10,Logitech Laptop 125,Logitech,2877.72,2289.43,169
126,8,Canon Headphones 126,Canon,1625.97,1308.83,251
127,6,Bose Camera 127,Bose,2271.6,1831.12,154
128,3,Logitech Camera 128,Logitech,1894.97,1451.94,127
129,10,Adidas Desk 129,Adidas,1727.45,1322.47,208
130,2,HP Mouse 130,HP,2020.1,1148.53,262
131,1,Bose Smartphone 131,Bose,2165.87,1147.05,394
132,5,Apple Mouse 132,Apple,1329.04,933.43,307
133,20,Adidas Television 133,Adidas,1952.6,977.35,150
134,12,Nike Smart Watch 134,Nike,459.34,369.25,362
135,12,HP Backpack 135,HP,1582.06,1211.3,24
136,13,Canon Monitor 136,Canon,996.09,549.18,484
137,14,Logitech Monitor 137,Logitech,662.58,401.8,144
138,20,Canon Headphones 138,Canon,789.33,535.19,306
139,8,HP Tablet 139,HP,713.23,490.72,345
140,8,Canon Smart Watch 140,Canon,1124.94,830.06,45
141,2,Nike Backpack 141,Nike,1356.51,782.63,63
142,10,LG Backpack 142,LG,854.22,533.94,236
143,6,LG Monitor 143,LG,2032.1,1649.19,198
144,15,Adidas Printer 144,Adidas,1623.78,1207.8,260
145,20,Bose Smart Watch 145,Bose,1475.39,993.77,401
146,12,Lenovo Monitor 146,Lenovo,1847.56,1366.18,332
147,17,HP Desk 147,HP,2144.33,1175.99,181
148,15,Samsung Desk 148,Samsung,2254.72,1748.59,449
149,8,Lenovo Smart Watch 149,Lenovo,1439.07,954.11,285
150,1,Nike Desk 150,Nike,810.11,447.67,490
151,14,Sony Smart Watch 151,Sony,1412.39,746.0,305
152,7,Bose Smart Watch 152,Bose,908.18,478.26,386
